"id_pub";"COD_PROV";"NOMBRE_ACTUAL";"POBLACION";"SUPERFICIE";"PERIMETRO";"COD_INE_CAPITAL";"CAPITAL";"POBLACION_CAPITAL";"LONGITUD_ETRS89";"LATITUD_ETRS89";"ALTITUD"
44;"01";"Legutio";1993;4584.0;37305;"01058000601";"Legutio";1438;"-2,64255929";"42,9798744";570
45;"01";"Vitoria-Gasteiz";253093;27698.0;112139;"01059006301";"Vitoria-Gasteiz";247799;"-2,67275685";"42,85058789";539
46;"01";"Yécora/Iekora";266;1880.0;20919;"01060000101";"Yécora/Iekora";266;"-2,4700849";"42,56923117";694
47;"01";"Zalduondo";192;1187.0;21423;"01061000101";"Zalduondo";190;"-2,34650825";"42,88580971";612
48;"01";"Zambrana";432;3957.0;43901;"01062000401";"Zambrana";321;"-2,87806502";"42,66112968";458
49;"01";"Zuia";2318;12257.0;49627;"01063001101";"Murgia";1102;"-2,81862854";"42,95597763";617
50;"01";"Iruña Oka/Iruña de Oca";3468;5323.0;35088;"01901000201";"Nanclares de la Oca/Langraiz Oka";2446;"-2,8147543";"42,81819126";502
51;"01";"Lantarón";915;6745.0;63679;"01902000401";"Comunión/Komunioi";85;"-2,96649719";"42,71657557";482
52;"02";"Abengibre";748;3076.0;25257;"02001000101";"Abengibre";748;"-1,54384487";"39,2100078";634
53;"02";"Alatoz";496;6385.0;37232;"02002000101";"Alatoz";485;"-1,36097604";"39,09494843";858
54;"02";"Albacete";172722;112698.0;250011;"02003000201";"Albacete";165728;"-1,85574745";"38,99588053";681
55;"02";"Albatana";681;3049.0;22505;"02004000101";"Albatana";668;"-1,52275248";"38,5708754";582
56;"02";"Alborea";670;7186.0;36330;"02005000101";"Alborea";662;"-1,39670449";"39,27835442";706
57;"02";"Alcadozo";632;9958.0;53730;"02006000101";"Alcadozo";581;"-1,9802275";"38,6489758";925
58;"02";"Alcalá del Júcar";1153;14682.0;51494;"02007000101";"Alcalá del Júcar";639;"-1,42932697";"39,1932018";547
59;"02";"Alcaraz";1310;37053.0;289056;"02008000101";"Alcaraz";1096;"-2,49034957";"38,66425104";953
60;"02";"Almansa";24388;53181.0;93237;"02009000101";"Almansa";23808;"-1,09414681";"38,86968811";687
61;"02";"Alpera";2285;17847.0;56652;"02010000101";"Alpera";2270;"-1,23080245";"38,95969094";852
62;"02";"Ayna";582;14658.0;65701;"02011000101";"Ayna";409;"-2,07053831";"38,55217746";696
63;"02";"Balazote";2363;6515.0;31749;"02012000101";"Balazote";2337;"-2,15096732";"38,88396156";771
64;"02";"Balsa de Ves";129;7589.0;40451;"02013000101";"Balsa de Ves";87;"-1,19650012";"39,26461253";751
65;"02";"El Ballestero";413;13869.0;49399;"02014000101";"El Ballestero";398;"-2,45508633";"38,84252196";1027
66;"02";"Barrax";1808;18983.0;52801;"02015000101";"Barrax";1783;"-2,20045637";"39,0456106";733
67;"02";"Bienservida";595;9073.0;56309;"02016000101";"Bienservida";585;"-2,61184243";"38,51602097";898
68;"02";"Bogarra";768;16601.0;77106;"02017000201";"Bogarra";561;"-2,21253636";"38,58025427";844
69;"02";"Bonete";1031;12505.0;55720;"02018000101";"Bonete";1025;"-1,34830324";"38,86950589";886
70;"02";"El Bonillo";2718;50286.0;154516;"02019000101";"El Bonillo";2689;"-2,54023691";"38,95012362";1062
71;"02";"Carcelén";496;7536.0;38287;"02020000101";"Carcelén";456;"-1,30876708";"39,10231176";911
72;"02";"Casas de Juan Núñez";1361;8898.0;42030;"02021000101";"Casas de Juan Núñez";1344;"-1,55799035";"39,10160749";704
73;"02";"Casas de Lázaro";328;11231.0;70760;"02022000201";"Casas de Lázaro";238;"-2,23922378";"38,7705758";942
74;"02";"Casas de Ves";564;12540.0;69475;"02023000101";"Casas de Ves";564;"-1,33454992";"39,25946122";707
75;"02";"Casas-Ibáñez";4540;10325.0;56102;"02024000101";"Casas-Ibáñez";4530;"-1,47129143";"39,28701686";708
76;"02";"Caudete";10077;14163.0;49586;"02025000101";"Caudete";9504;"-0,9886912";"38,70573009";554
77;"02";"Cenizate";1186;6326.0;35204;"02026000101";"Cenizate";1186;"-1,66113349";"39,30332101";706
78;"02";"Corral-Rubio";306;9475.0;42347;"02027000101";"Corral-Rubio";272;"-1,4608525";"38,83500072";870
79;"02";"Cotillas";134;1446.0;15802;"02028000201";"Cotillas";97;"-2,50574545";"38,43135915";947
80;"02";"Chinchilla de Monte-Aragón";4344;67927.0;163946;"02029000201";"Chinchilla de Monte-Aragón";3159;"-1,72602643";"38,9210968";907
81;"02";"Elche de la Sierra";3557;23949.0;84011;"02030000101";"Elche de la Sierra";3185;"-2,04781376";"38,44790893";630
82;"02";"Férez";628;12614.0;56948;"02031000101";"Férez";596;"-2,00953934";"38,35567013";682
83;"02";"Fuensanta";280;2395.0;26368;"02032000101";"Fuensanta";277;"-2,06725219";"39,24466001";693
84;"02";"Fuente-Álamo";2447;13337.0;45590;"02033000101";"Fuente-Álamo";2386;"-1,43170411";"38,69314229";820
85;"02";"Fuentealbilla";1836;10829.0;64740;"02034000301";"Fuentealbilla";1646;"-1,54879364";"39,26773579";670
86;"02";"La Gineta";2554;13676.0;50035;"02035000101";"La Gineta";2316;"-1,99784496";"39,11387916";691
87;"02";"Golosalvo";99;2817.0;24505;"02036000101";"Golosalvo";99;"-1,63626863";"39,23996013";740
88;"02";"Hellín";30427;78165.0;152389;"02037000501";"Hellín";25244;"-1,70344921";"38,51218953";570
89;"02";"La Herrera";311;6342.0;42320;"02038000201";"La Herrera";263;"-2,12637236";"38,9621774";714
90;"02";"Higueruela";1144;20545.0;86388;"02039000301";"Higueruela";1117;"-1,44535609";"38,96455026";1041
91;"02";"Hoya-Gonzalo";598;11457.0;48066;"02040000101";"Hoya-Gonzalo";594;"-1,55687053";"38,95787352";929
92;"02";"Jorquera";363;6797.0;57182;"02041000401";"Jorquera";290;"-1,52061391";"39,17457441";624
93;"02";"Letur";909;26440.0;81881;"02042000302";"Letur";272;"-2,10096881";"38,36632081";735
94;"02";"Lezuza";1322;36090.0;86191;"02043000101";"Lezuza";822;"-2,35387427";"38,94878996";913
95;"02";"Liétor";1123;31178.0;78803;"02044000501";"Liétor";1050;"-1,95479319";"38,54083745";641
96;"02";"Madrigueras";4654;7334.0;35851;"02045000101";"Madrigueras";4635;"-1,7997012";"39,23680339";688
97;"02";"Mahora";1380;10814.0;48081;"02046000101";"Mahora";1354;"-1,72481837";"39,21303088";663
98;"02";"Masegoso";105;10387.0;42914;"02047000301";"Masegoso";42;"-2,31511768";"38,71877813";1108
99;"02";"Minaya";1483;6978.0;44129;"02048000101";"Minaya";1469;"-2,31961973";"39,27118701";723
100;"02";"Molinicos";829;14358.0;71840;"02049001101";"Molinicos";432;"-2,23898151";"38,46778179";851
101;"02";"Montalvos";86;2477.0;23450;"02050000101";"Montalvos";84;"-2,02769341";"39,16721439";709
102;"02";"Montealegre del Castillo";2038;17785.0;54704;"02051000101";"Montealegre del Castillo";2014;"-1,32487672";"38,78717469";810
103;"02";"Motilleja";605;2382.0;24700;"02052000101";"Motilleja";605;"-1,79025762";"39,17948885";676
104;"02";"Munera";3433;22968.0;58597;"02053000101";"Munera";3424;"-2,4830388";"39,03954575";929
105;"02";"Navas de Jorquera";536;4225.0;26041;"02054000101";"Navas de Jorquera";536;"-1,7189485";"39,28099513";708
106;"02";"Nerpio";1197;43674.0;100376;"02055000901";"Nerpio";698;"-2,30224029";"38,14824043";1085
107;"02";"Ontur";1963;5440.0;30491;"02056000101";"Ontur";1963;"-1,49888166";"38,61472661";653
108;"02";"Ossa de Montiel";2241;24370.0;69230;"02057000201";"Ossa de Montiel";2151;"-2,74272664";"38,96201035";898
109;"02";"Paterna del Madera";323;11233.0;53946;"02058000601";"Paterna del Madera";265;"-2,34555766";"38,59729435";1126
110;"02";"Peñascosa";320;18925.0;106221;"02059000501";"Peñascosa";189;"-2,41040499";"38,67153536";1169
111;"02";"Peñas de San Pedro";1410;15876.0;73331;"02060000701";"Peñas de San Pedro";1035;"-2,00212787";"38,72688881";1010
112;"02";"Pétrola";676;7460.0;40804;"02061000201";"Pétrola";551;"-1,55549981";"38,82629814";870
113;"02";"Povedilla";401;4942.0;35557;"02062000101";"Povedilla";387;"-2,60393627";"38,70163971";872
114;"02";"Pozohondo";1584;13648.0;49358;"02063000501";"Pozohondo";1011;"-1,91133356";"38,721122";871
115;"02";"Pozo-Lorente";394;8095.0;36474;"02064000101";"Pozo-Lorente";392;"-1,50647855";"39,07663024";769
116;"02";"Pozuelo";465;13397.0;48394;"02065000201";"Pozuelo";434;"-2,10117384";"38,80969625";845
117;"02";"La Recueja";225;2973.0;39019;"02066000101";"La Recueja";225;"-1,48988779";"39,17688319";542
118;"02";"Riópar";1326;8092.0;55582;"02067000401";"Riópar";1140;"-2,41839311";"38,4998099";1126
119;"02";"Robledo";391;12008.0;51626;"02068000301";"Robledo";244;"-2,44882682";"38,75778452";1041
120;"02";"La Roda";15401;39888.0;127633;"02069000101";"La Roda";15285;"-2,15924796";"39,20706504";708
121;"02";"Salobre";461;4952.0;39261;"02070000201";"Salobre";312;"-2,55057256";"38,59195258";920
122;"02";"San Pedro";1148;8311.0;37014;"02071000401";"San Pedro";1062;"-2,186211";"38,82654004";844
123;"02";"Socovos";1750;13903.0;65123;"02072000401";"Socovos";1130;"-1,98469065";"38,33202632";734
124;"02";"Tarazona de la Mancha";6184;21268.0;67722;"02073000101";"Tarazona de la Mancha";6133;"-1,91280979";"39,26539647";713
125;"02";"Tobarra";7691;32464.0;79846;"02074000601";"Tobarra";6725;"-1,69282296";"38,5922733";652
126;"02";"Valdeganga";1947;7065.0;42767;"02075000102";"Valdeganga";1927;"-1,67646922";"39,13545152";667
127;"02";"Vianos";327;12803.0;91378;"02076000102";"Vianos";324;"-2,50149079";"38,632307";1118
128;"02";"Villa de Ves";62;5775.0;37832;"02077000101";"Villa de Ves";44;"-1,25897631";"39,22231541";744
129;"02";"Villalgordo del Júcar";1081;4668.0;32688;"02078000101";"Villalgordo del Júcar";1062;"-2,06309183";"39,29598679";683
130;"02";"Villamalea";4040;12832.0;63758;"02079000103";"Villamalea";4033;"-1,59908353";"39,36160785";739
131;"02";"Villapalacios";556;8747.0;41446;"02080000101";"Villapalacios";555;"-2,63505947";"38,57467359";837
132;"02";"Villarrobledo";24978;86239.0;141054;"02081000301";"Villarrobledo";24637;"-2,60714311";"39,26755792";728
133;"02";"Villatoya";108;1867.0;21565;"02082000201";"Villatoya";77;"-1,33858599";"39,33385264";409
134;"02";"Villavaliente";214;3484.0;30502;"02083000101";"Villavaliente";214;"-1,45799642";"39,12645758";726
135;"02";"Villaverde de Guadalimar";333;6907.0;39421;"02084000501";"Villaverde de Guadalimar";209;"-2,518480636";"38,456169";799
136;"02";"Viveros";328;6536.0;45479;"02085000101";"Viveros";328;"-2,57590915";"38,77363475";1012
137;"02";"Yeste";2567;51148.0;121317;"02086001401";"Yeste";1393;"-2,31903072";"38,36643865";878
138;"02";"Pozo Cañada";2797;11683.0;69208;"02901000101";"Pozo Cañada";2770;"-1,73622317";"38,801361";830
139;"03";"l'Atzúbia";609;1466.0;18376;"03001000101";"l'Atzúbia";367;"-0,15173035";"38,84743029";99
140;"03";"Agost";4906;6663.0;40007;"03002000101";"Agost";4033;"-0,63891979";"38,43949316";331
141;"03";"Agres";580;2583.0;20529;"03003000101";"Agres";446;"-0,51595543";"38,78000404";719
142;"03";"Aigües";1049;1847.0;20622;"03004000101";"Aigües";644;"-0,36258669";"38,49887092";332
143;"03";"Albatera";12714;6154.0;34605;"03005000101";"Albatera";11830;"-0,86792141";"38,17894636";15
144;"03";"Alcalalí";1336;1439.0;21582;"03006000101";"Alcalalí";361;"-0,04160798";"38,74965349";226
145;"03";"Alcosser";243;438.0;9164;"03007000101";"Alcosser";141;"-0,40197036";"38,79447224";345
146;"03";"Alcoleja";181;1455.0;19193;"03008000101";"Alcoleja";165;"-0,33100925";"38,67548564";735
147;"03";"Alcoi/Alcoy";59128;12986.0;58858;"03009000101";"Alcoi/Alcoy";57390;"-0,473163128";"38,69764173";564
148;"03";"Alfafara";408;1977.0;18603;"03010000101";"Alfafara";378;"-0,55552339";"38,77274828";580
149;"03";"l'Alfàs del Pi";20495;1925.0;20927;"03011000102";"l'Alfàs del Pi";5473;"-0,1026002";"38,58009496";89
150;"03";"Algorfa";3396;1847.0;29362;"03012000101";"Algorfa";1685;"-0,79568423";"38,08681637";23
151;"03";"Algueña";1334;1847.0;29521;"03013000101";"Algueña";1258;"-1,00303745";"38,33800138";530
152;"03";"Alacant/Alicante";337304;20232.0;151886;"03014000201";"Alacant/Alicante";325302;"-0,4831832";"38,34548705";5
153;"03";"Almoradí";21404;4269.0;53678;"03015000101";"Almoradí";18990;"-0,79201713";"38,10977991";10
154;"03";"Almudaina";117;882.0;12317;"03016000101";"Almudaina";112;"-0,35370678";"38,76155764";570
155;"03";"l'Alqueria d'Asnar";498;108.0;9555;"03017000101";"l'Alqueria d'Asnar";472;"-0,42552267";"38,77311802";363
156;"03";"Altea";22657;3442.0;30970;"03018000102";"Altea";14961;"-0,05144236";"38,59892497";60
157;"03";"Aspe";21088;7057.0;38464;"03019000101";"Aspe";18842;"-0,76849107";"38,34577266";234
158;"03";"Balones";134;1125.0;17176;"03020000101";"Balones";126;"-0,34237388";"38,73701039";670
159;"03";"Banyeres de Mariola";7113;5027.0;39273;"03021000101";"Banyeres de Mariola";6918;"-0,65685684";"38,71635902";812
160;"03";"Benasau";170;904.0;16402;"03022000202";"Benasau";150;"-0,34261264";"38,68991329";705
161;"03";"Beneixama";1707;3488.0;26678;"03023000101";"Beneixama";1661;"-0,76676743";"38,70018533";592
162;"03";"Benejúzar";5453;932.0;15599;"03024000101";"Benejúzar";5453;"-0,83819517";"38,07806375";23
163;"03";"Benferri";1958;1236.0;16679;"03025000101";"Benferri";1414;"-0,9622579";"38,14179352";56
164;"03";"Beniarbeig";2227;740.0;17593;"03026000101";"Beniarbeig";2120;"-0,00130364";"38,82193219";42
165;"03";"Beniardá";192;1573.0;21110;"03027000101";"Beniardá";149;"-0,21600764";"38,68343356";464
166;"03";"Beniarrés";1083;2021.0;20473;"03028000101";"Beniarrés";1042;"-0,37904234";"38,82007885";385
167;"03";"Benigembla";483;1845.0;17576;"03029000101";"Benigembla";275;"-0,10982699";"38,75633514";311
168;"03";"Benidoleig";1166;748.0;13133;"03030000101";"Benidoleig";688;"-0,03173239";"38,791917";124
169;"03";"Benidorm";69118;3850.0;39091;"03031000102";"Benidorm";67395;"-0,1306853";"38,53427136";11
170;"03";"Benifallim";103;1368.0;18200;"03032000101";"Benifallim";101;"-0,39922559";"38,66273419";738
171;"03";"Benifato";135;1188.0;15536;"03033000101";"Benifato";82;"-0,22888967";"38,67369418";663
172;"03";"Benijófar";3323;435.0;8848;"03034000101";"Benijófar";2295;"-0,73828051";"38,0808408";22
173;"03";"Benilloba";737;953.0;16495;"03035000101";"Benilloba";687;"-0,3908201";"38,69955909";521
174;"03";"Benillup";101;337.0;10655;"03036000101";"Benillup";99;"-0,3789958";"38,75380301";564
175;"03";"Benimantell";501;3792.0;42148;"03037000101";"Benimantell";379;"-0,20984798";"38,67659254";546
176;"03";"Benimarfull";397;556.0;10384;"03038000101";"Benimarfull";354;"-0,39099875";"38,77584801";414
177;"03";"Benimassot";97;951.0;14024;"03039000101";"Benimassot";97;"-0,291855";"38,74905825";725
178;"03";"Benimeli";415;350.0;11959;"03040000101";"Benimeli";376;"-0,04146491";"38,82296616";93
179;"03";"Benissa";11462;6970.0;54032;"03041000101";"Benissa";7284;"0,05043358";"38,7151969";254
180;"03";"el Poble Nou de Benitatxell/Benitachell";4447;1265.0;16918;"03042000102";"el Poble Nou de Benitatxell/Benitachell";1786;"0,144742727";"38,73241632";159
181;"03";"Biar";3628;9816.0;40760;"03043000101";"Biar";3392;"-0,76597374";"38,62996229";697
182;"03";"Bigastro";6994;409.0;13443;"03044000101";"Bigastro";6987;"-0,89528476";"38,06301558";23
183;"03";"Bolulla";426;1357.0;16389;"03045000101";"Bolulla";271;"-0,11168494";"38,67657681";213
184;"03";"Busot";3207;3384.0;27619;"03046000101";"Busot";587;"-0,42050568";"38,4819618";312
185;"03";"Calp";23530;2350.0;28830;"03047000101";"Calp";12392;"0,04453809";"38,64526261";55
186;"03";"Callosa d'en Sarrià";7589;3466.0;30558;"03048000102";"Callosa d'en Sarrià";6682;"-0,12235041";"38,65164066";250
187;"03";"Callosa de Segura";19273;2490.0;41368;"03049000101";"Callosa de Segura";17305;"-0,87933854";"38,12258136";20
188;"03";"el Campello";29013;5526.0;51303;"03050000204";"el Campello";15979;"-0,40086509";"38,42754724";26
189;"03";"el Camp de Mirra/Campo de Mirra";429;2181.0;26539;"03051000101";"el Camp de Mirra/Campo de Mirra";401;"-0,778961778";"38,68728729";585
190;"03";"Cañada";1191;1932.0;24508;"03052000101";"Cañada";1158;"-0,80952172";"38,67518917";556
191;"03";"Castalla";10752;11459.0;56120;"03053000101";"Castalla";8884;"-0,67026538";"38,59657643";669
192;"03";"Castell de Castells";425;4592.0;28244;"03054000101";"Castell de Castells";374;"-0,19391054";"38,72499704";549
193;"03";"Catral";8880;2002.0;20330;"03055000102";"Catral";7137;"-0,80464175";"38,15964959";8
194;"03";"Cocentaina";11451;5294.0;38405;"03056000401";"Cocentaina";9583;"-0,44022067";"38,74541202";433
195;"03";"Confrides";271;3998.0;30719;"03057000201";"Confrides";123;"-0,26810894";"38,68353731";780
196;"03";"Cox";7427;1670.0;35761;"03058000201";"Cox";7329;"-0,88437585";"38,13972138";16
197;"03";"Crevillent";29717;10455.0;51135;"03059000202";"Crevillent";24096;"-0,80855322";"38,24881414";129
198;"03";"Quatretondeta";117;1670.0;18277;"03060000101";"Quatretondeta";117;"-0,31641906";"38,72386675";620
199;"03";"Daya Nueva";1757;709.0;11032;"03061000101";"Daya Nueva";1598;"-0,76103525";"38,11371672";8
200;"03";"Daya Vieja";707;314.0;7310;"03062000101";"Daya Vieja";556;"-0,73805702";"38,1047248";6
201;"03";"Dénia";42953;6617.0;86143;"03063000101";"Dénia";25415;"0,10661934";"38,84122705";13
202;"03";"Dolores";7620;1870.0;21304;"03064000101";"Dolores";6334;"-0,76969869";"38,13897736";4
203;"03";"Elx/Elche";234205;32650.0;91867;"03065001101";"Elx/Elche";191127;"-0,698854923";"38,26536234";81
204;"03";"Elda";52551;4559.0;30494;"03066000101";"Elda";51019;"-0,79611046";"38,47878894";395
205;"03";"Fageca";105;1017.0;15760;"03067000101";"Fageca";104;"-0,26771337";"38,73467536";769
206;"03";"Famorca";45;972.0;12929;"03068000101";"Famorca";45;"-0,24604552";"38,73219338";684
207;"03";"Finestrat";7402;4225.0;29962;"03069000202";"Finestrat";2157;"-0,2117688";"38,56697349";264
208;"03";"Formentera del Segura";4337;433.0;12939;"03070000201";"Formentera del Segura";2687;"-0,74649853";"38,08423377";8
209;"03";"Gata de Gorgos";6223;2033.0;20037;"03071000101";"Gata de Gorgos";5021;"0,08427495";"38,7732101";79
210;"03";"Gaianes";505;957.0;12485;"03072000101";"Gaianes";293;"-0,40755768";"38,81311114";420
211;"03";"Gorga";261;910.0;18983;"03073000101";"Gorga";237;"-0,35671735";"38,71833445";542
212;"03";"Granja de Rocamora";2609;716.0;41219;"03074000101";"Granja de Rocamora";2548;"-0,89001674";"38,15262779";17
213;"03";"el Castell de Guadalest";243;1596.0;21929;"03075000101";"el Castell de Guadalest";156;"-0,19735239";"38,67694213";571
214;"03";"Guardamar del Segura";15983;3393.0;33048;"03076000103";"Guardamar del Segura";12533;"-0,65477035";"38,08988071";27
215;"03";"el Fondó de les Neus/Hondón de las Nieves";2634;6885.0;36777;"03077000201";"el Fondó de les Neus/Hondón de las Nieves";1215;"-0,85486637";"38,30855695";367
216;"03";"Hondón de los Frailes";1299;1254.0;14915;"03078000101";"Hondón de los Frailes";574;"-0,92699487";"38,27358559";413
217;"03";"Ibi";23652;6252.0;30903;"03079000101";"Ibi";23009;"-0,57466482";"38,62745682";754
218;"03";"Jacarilla";2030;1220.0;18436;"03080000101";"Jacarilla";1895;"-0,86635637";"38,06070041";25
219;"03";"Xaló";2892;3458.0;31489;"03081000101";"Xaló";1825;"-0,01192072";"38,74069906";188
220;"03";"Xàbia/Jávea";27983;6859.0;52582;"03082000214";"Xàbia/Jávea";12890;"0,163523555";"38,78906246";46
221;"03";"Xixona/Jijona";6861;16376.0;68034;"03083000101";"Xixona/Jijona";6438;"-0,507189631";"38,53941113";448
222;"03";"l'Orxa/Lorcha";584;3176.0;24599;"03084000101";"l'Orxa/Lorcha";543;"-0,311838984";"38,84540041";261
223;"03";"Llíber";883;2193.0;26922;"03085000101";"Llíber";372;"0,006304";"38,74347137";191
224;"03";"Millena";242;977.0;16190;"03086000101";"Millena";112;"-0,36337482";"38,73087323";635
225;"03";"Monforte del Cid";8500;7952.0;49689;"03088000301";"Monforte del Cid";6347;"-0,72989187";"38,37928097";228
226;"03";"Monòver/Monóvar";12188;15235.0;54964;"03089000401";"Monòver/Monóvar";9873;"-0,839000344";"38,43694476";389
227;"03";"Mutxamel";25679;4765.0;34880;"03090000114";"Mutxamel";14530;"-0,44522331";"38,41368396";63
228;"03";"Murla";549;581.0;11828;"03091000101";"Murla";297;"-0,08306874";"38,75958883";283
229;"03";"Muro de Alcoy";9326;3024.0;31128;"03092000401";"Muro de Alcoy";8060;"-0,4357044";"38,77998192";391
230;"03";"Novelda";25611;7572.0;42521;"03093000202";"Novelda";23234;"-0,76539782";"38,38606382";241
231;"03";"la Nucia";18108;2136.0;30865;"03094000103";"la Nucia";5347;"-0,12289748";"38,61761623";216
232;"03";"Ondara";7080;1041.0;20045;"03095000101";"Ondara";6404;"0,01764367";"38,82692459";36
233;"03";"Onil";7569;4841.0;33675;"03096000101";"Onil";7158;"-0,6740463";"38,62952092";701
234;"03";"Orba";2233;1772.0;26196;"03097000304";"Orba";1155;"-0,06371253";"38,78039233";154
